car_name,model_year,present_price,km_driven,seller_type,fuel_type,transmission_type,ownsership,selling_price
Honda City,,1670000,67000,Dealer,Diesel,Manual,,549000
Ford Figo,,1385000,49392,Dealer,Petrol,Manual,,575000
Honda WR-V,,2400000,65000,Individual,Diesel,Manual,,800000
Hyundai Creta,,1529000,50000,Individual,Diesel,Manual,,1200000
Maruti Swift,,1679000,90000,Individual,Petrol,Manual,,280000
Maruti Swift,,1850000,92000,Dealer,Diesel,Manual,,525000
Mahindra Thar,,1049000,60000,Individual,Diesel,Manual,,950000
Datsun RediGO,,1150000,17731,Dealer,Petrol,Manual,,270000
Toyota Fortuner,,2250000,85000,Dealer,Diesel,Manual,,1100000
Maruti Vitara,,950000,61326,Dealer,Diesel,Manual,,985000
Maruti Celerio,,1625000,32000,Individual,Petrol,Manual,,450000
Hyundai Creta,,2500000,57000,Individual,Petrol,Automatic,,800000
Hyundai Verna,,3150000,42700,Individual,Diesel,Manual,,860000
Maruti Ertiga,,875000,35000,Individual,Petrol,Manual,,585000
Maruti Wagon R,,570000,10000,Individual,Petrol,Automatic,,400000
Honda Civic,,1350000,110000,Individual,Petrol,Manual,,400000
Maruti Ertiga,,1940000,78368,Dealer,Diesel,Manual,,785000
Hyundai i20,,1200000,37924,Dealer,Petrol,Manual,,550000
Ford Ecosport,,1990000,104859,Dealer,Diesel,Manual,,425000
Ford Ecosport,,685000,63000,Dealer,Diesel,Manual,,831000
Kia Seltos,,460000,7100,Dealer,Diesel,Automatic,,1950000
Honda Jazz,,15000000,52377,Dealer,Petrol,Automatic,,785000
Volkswagen Polo,,380000,14000,Dealer,Petrol,Manual,,750000
Volkswagen Polo,,420000,70000,Dealer,Diesel,Manual,,675000
Hyundai Grand,,1620000,18000,Dealer,Diesel,Manual,,685000
Hyundai Verna,,1060000,7000,Dealer,Diesel,Automatic,,1295000
Maruti Ciaz,,2825000,49000,Dealer,Petrol,Manual,,635000
Honda City,,740000,62000,Dealer,Diesel,Manual,,640000
Volkswagen Vento,,3300000,34000,Individual,Petrol,Manual,,400000
Honda WR-V,,965000,66000,Dealer,Diesel,Manual,,725000
Renault KWID,,2600000,35000,Individual,Petrol,Automatic,,350000
Hyundai Venue,,765000,5000,Individual,Petrol,Manual,,1050000
Hyundai i20,,2185000,64000,Individual,Diesel,Manual,,620000
Skoda Rapid,,1550000,85600,Dealer,Diesel,Manual,,475000
Toyota Innova,,250000,77000,Dealer,Diesel,Manual,,645000
Maruti Celerio,,5600000,57000,Dealer,Petrol,Automatic,,495000
Renault KWID,,2750000,8627,Dealer,Petrol,Manual,,385000
Volkswagen Polo,,2950000,100000,Individual,Diesel,Manual,,290000
Maruti Eeco,,1695000,48000,Dealer,CNG,Manual,,421000
Volkswagen Polo,,2240000,56000,Dealer,Petrol,Manual,,385000
Toyota Innova,,2000000,193000,Dealer,Diesel,Manual,,425000
Hyundai Grand,,345000,20000,Individual,Petrol,Manual,,500000
Ford Ecosport,,2250000,6500,Dealer,Diesel,Manual,,899000
Maruti Alto,,2450000,90000,Individual,CNG,Manual,,185000
Volkswagen Polo,,1150000,37450,Dealer,Petrol,Automatic,,895000
Honda City,,1400000,88102,Dealer,Diesel,Manual,,685000
Honda City,,3975000,47000,Dealer,Petrol,Manual,,325000
Maruti Wagon R,,1400000,37623,Dealer,Petrol,Manual,,296000
Honda Amaze,,1050000,49000,Dealer,Petrol,Manual,,495000
Hyundai i20,,1125000,69000,Dealer,Diesel,Manual,,460000
Maruti Eeco,,460000,100000,Individual,Petrol,Manual,,150000
Hyundai Verna,,2490000,90000,Dealer,Diesel,Manual,,525000
Maruti Swift Dzire,,1490000,60855,Dealer,Petrol,Manual,,500000
Maruti Swift Dzire,,1575000,86300,Individual,Petrol,Manual,,440000
Hyundai i20,,2350000,78000,Dealer,Diesel,Manual,,650000
Hyundai i10,,1750000,50000,Dealer,Petrol,Manual,,210000
Maruti Wagon R,,750000,42100,Dealer,CNG,Manual,,375000
Maruti Alto,,1385000,35000,Individual,Petrol,Manual,,300000
Toyota Innova,,600000,143448,Dealer,Diesel,Manual,,700000
Tata Tiago,,475000,39543,Dealer,Diesel,Manual,,485000
Renault KWID,,1150000,46000,Dealer,Petrol,Manual,,315000
Maruti Celerio,,1160000,51000,Dealer,Petrol,Automatic,,435000
Mahindra XUV500,,1900000,80000,Individual,Diesel,Manual,,1100000
Hyundai i20,,1775000,60000,Dealer,Petrol,Manual,,500000
Hyundai i20,,1770000,50000,Individual,Petrol,Manual,,655000
Ford Ecosport,,600000,40000,Individual,Diesel,Manual,,900000
Volkswagen Vento,,1360000,9965,Dealer,Petrol,Manual,,915000
Mahindra Bolero,,3650000,39000,Individual,Diesel,Manual,,530000
Toyota Innova,,1750000,35500,Dealer,Diesel,Automatic,,1490000
Honda Amaze,,2860000,70400,Dealer,Petrol,Manual,,415000
Maruti Wagon R,,980000,80000,Individual,CNG,Manual,,300000
Maruti Eeco,,525000,70000,Dealer,Petrol,Manual,,275000
Maruti Swift,,980000,120000,Individual,Diesel,Manual,,350000
Toyota Innova,,760000,115000,Dealer,Diesel,Manual,,1025000
Hyundai Grand,,2170000,76000,Dealer,Petrol,Automatic,,515000
Honda City,,700000,120000,Individual,Petrol,Manual,,400000
Volkswagen Polo,,245000,7000,Dealer,Petrol,Manual,,730000
Maruti Ciaz,,1385000,45000,Dealer,Petrol,Manual,,725000
Honda City,,1190000,88000,Dealer,Diesel,Manual,,650000
Maruti Vitara,,920000,40000,Individual,Diesel,Manual,,800000
Ford Freestyle,,1475000,30000,Individual,Diesel,Manual,,775000
Volkswagen Polo,,2950000,56084,Dealer,Petrol,Automatic,,645000
Maruti Alto,,1370000,116006,Dealer,Petrol,Manual,,250000
Maruti Wagon R,,1280000,65000,Dealer,Petrol,Manual,,295000
Honda Civic,,1000000,21000,Dealer,Petrol,Automatic,,1670000
Maruti Swift Dzire,,585000,180000,Individual,Diesel,Manual,,380000
Renault KWID,,570000,25000,Individual,Petrol,Manual,,310000
Mahindra XUV300,,670000,25000,Individual,Diesel,Manual,,1079000
Toyota Innova,,3000000,71000,Dealer,Diesel,Manual,,1275000
Maruti Eeco,,950000,40000,Dealer,Petrol,Manual,,365000
Mahindra XUV500,,675000,60000,Dealer,Diesel,Manual,,1500000
Hyundai Creta,,3200000,12000,Individual,Petrol,Manual,,1070000
BMW 5,,250000,65000,Dealer,Diesel,Automatic,,1855000
Ford Ecosport,,480000,58000,Dealer,Diesel,Manual,,475000
Hyundai Grand,,220000,28000,Dealer,Petrol,Manual,,495000
Maruti Vitara,,910000,90000,Individual,Diesel,Manual,,850000
Maruti Swift Dzire,,2350000,73000,Individual,Petrol,Manual,,530000
Mercedes-Benz C-Class,,4200000,64212,Dealer,Diesel,Automatic,,1000000
Maruti Swift,,540000,85263,Dealer,Diesel,Manual,,550000
Audi A6,,1800000,56227,Dealer,Diesel,Automatic,,2675000
Maruti Alto,,1350000,2000,Individual,Petrol,Manual,,220000
Maruti Alto,,700000,31000,Dealer,Petrol,Automatic,,360000
Maruti Ciaz,,3800000,31869,Dealer,Petrol,Manual,,690000
Maruti Alto,,9800000,23765,Dealer,Petrol,Manual,,400000
Maruti Swift Dzire,,525000,64000,Individual,Petrol,Manual,,350000
Maruti Wagon R,,9950000,34000,Dealer,Petrol,Manual,,300000
Maruti Celerio,,10800000,52500,Dealer,Petrol,Automatic,,375000
Maruti Swift,,1680000,57000,Dealer,Petrol,Manual,,205000
Hyundai i20,,1080000,15000,Dealer,Diesel,Manual,,975000
Mahindra XUV500,,820000,34000,Dealer,Diesel,Manual,,1570000
Ford Ecosport,,920000,40000,Individual,Diesel,Manual,,885000
Maruti Ciaz,,480000,63000,Dealer,Diesel,Manual,,630000
BMW 3,,675000,45000,Dealer,Diesel,Automatic,,2690000
Mercedes-Benz E-Class,,4000000,39500,Dealer,Petrol,Automatic,,1850000
Hyundai i10,,515000,42000,Individual,Petrol,Manual,,230000
Honda City,,1214000,70000,Dealer,Petrol,Manual,,180000
Honda CR-V,,1200000,20000,Individual,Diesel,Automatic,,3100000
Maruti Swift Dzire,,3080000,80000,Individual,Diesel,Manual,,450000
Mercedes-Benz C-Class,,2565000,75000,Dealer,Petrol,Automatic,,800000
Maruti Alto,,1575000,22900,Dealer,Petrol,Manual,,215000
Maruti Celerio,,900000,20000,Individual,CNG,Manual,,510000
Ford Endeavour,,760000,98000,Dealer,Diesel,Manual,,875000
Honda City,,985000,75000,Dealer,Petrol,Manual,,537000
Tata Nexon,,2400000,60000,Individual,Petrol,Manual,,600000
Renault KWID,,895000,12500,Individual,Petrol,Automatic,,345000
Maruti Vitara,,1280000,68000,Dealer,Diesel,Manual,,660000
Hyundai i20,,390000,70000,Individual,Diesel,Manual,,310000
Hyundai Verna,,1450000,36000,Dealer,Diesel,Manual,,860000
Maruti Swift Dzire,,680000,80000,Individual,Diesel,Manual,,650000
Skoda Rapid,,4250000,62600,Dealer,Diesel,Automatic,,1045000
Hyundai Grand,,495000,55000,Dealer,Petrol,Manual,,415000
Maruti Swift,,1120000,76448,Dealer,Diesel,Manual,,405000
Maruti Ciaz,,3200000,48000,Dealer,Petrol,Manual,,545000
Volkswagen Vento,,1100000,76000,Dealer,Diesel,Manual,,575000
Honda Amaze,,1525000,40000,Individual,Diesel,Manual,,750000
Hyundai i20,,3250000,42000,Individual,Petrol,Manual,,430000
Honda Jazz,,33000000,52062,Dealer,Petrol,Manual,,675000
Ford Ecosport,,1850000,56017,Dealer,Diesel,Manual,,685000
Hyundai Creta,,3550000,10000,Individual,Petrol,Manual,,995000
Mercedes-Benz C-Class,,1350000,77000,Dealer,Diesel,Automatic,,1450000
Maruti Ertiga,,2710000,135000,Individual,Diesel,Manual,,900000
Toyota Innova,,2930000,18000,Individual,Diesel,Manual,,1920000
Mercedes-Benz C-Class,,1950000,66001,Dealer,Petrol,Manual,,650000
Maruti Swift Dzire,,2350000,100000,Individual,Petrol,Manual,,390000
Honda City,,2025000,9600,Dealer,Petrol,Automatic,,1160000
BMW 5,,960000,70000,Dealer,Diesel,Automatic,,695000
Hyundai i10,,565000,9000,Individual,Petrol,Manual,,375000
Mahindra XUV300,,5650000,13921,Dealer,Petrol,Manual,,975000
Maruti Swift,,495000,120000,Individual,Diesel,Manual,,580000
Maruti Vitara,,560000,40000,Individual,Diesel,Manual,,720000
Maruti Celerio,,1950000,48129,Dealer,CNG,Manual,,411000
Maruti Swift Dzire,,2220000,189000,Individual,Petrol,Manual,,340000
Hyundai Creta,,1420000,65000,Dealer,Diesel,Automatic,,1421000
Renault Triber,,1495000,11000,Dealer,Petrol,Manual,,725000
Toyota Fortuner,,3650000,150000,Dealer,Diesel,Automatic,,2800000
Mahindra XUV500,,1640000,178000,Individual,Diesel,Manual,,950000
Hyundai Grand,,790000,66916,Dealer,Petrol,Automatic,,550000
Toyota Innova,,565000,56875,Dealer,Diesel,Manual,,1850000
Hyundai i20,,1625000,70000,Individual,Diesel,Manual,,695000
Mahindra Thar,,1990000,21219,Dealer,Diesel,Manual,,995000
Maruti Swift,,830000,11320,Individual,Petrol,Manual,,700000
Hyundai Santro,,460000,68000,Individual,Petrol,Manual,,215000
Volkswagen Polo,,1120000,53776,Individual,Petrol,Automatic,,650000
Volkswagen Vento,,1000000,59000,Dealer,Petrol,Manual,,249000
Hyundai Creta,,2196000,70000,Individual,Diesel,Manual,,800000
Maruti Ertiga,,550000,77000,Dealer,CNG,Manual,,645000
Mercedes-Benz GL-Class,,2450000,38000,Dealer,Diesel,Automatic,,2975000
Hyundai Grand,,780000,47000,Dealer,Petrol,Manual,,555000
Maruti Ertiga,,410000,70000,Individual,Diesel,Manual,,780000
Mahindra KUV,,370000,35000,Individual,Petrol,Manual,,350000
Maruti Swift Dzire,,1625000,10000,Individual,Petrol,Automatic,,660000
Skoda Superb,,8200000,8000,Dealer,Petrol,Automatic,,2375000
Honda City,,2500000,26000,Dealer,Petrol,Automatic,,1125000
Toyota Innova,,325000,85000,Dealer,Diesel,Automatic,,1755000
Maruti Wagon R,,1615000,66628,Dealer,CNG,Manual,,415000
Maruti Wagon R,,800000,81133,Dealer,Petrol,Manual,,245000
Maruti Baleno,,800000,2441,Dealer,Petrol,Automatic,,875000
Honda Amaze,,3250000,40000,Individual,Petrol,Manual,,500000
Mercedes-Benz GL-Class,,580000,10000,Dealer,Diesel,Automatic,,4950000
Maruti Wagon R,,2080000,120000,Individual,Petrol,Manual,,275000
Honda Amaze,,2875000,42012,Dealer,Petrol,Manual,,475000
Toyota Innova,,590000,120000,Dealer,Diesel,Automatic,,1685000
Hyundai i20,,1470000,70000,Individual,Diesel,Manual,,650000
Renault Duster,,2280000,54000,Dealer,Diesel,Manual,,315000
Maruti Swift,,970000,85195,Dealer,Petrol,Manual,,450000
Maruti Alto,,2090000,25000,Individual,Petrol,Manual,,210000
Renault Triber,,1100000,15000,Individual,Petrol,Manual,,654000
Maruti Dzire ZXI,,690000,18767,Dealer,Petrol,Manual,,760000
Volkswagen Vento,,1100000,57000,Dealer,Diesel,Manual,,345000
Mercedes-Benz GL-Class,,1685000,60696,Dealer,Diesel,Automatic,,4500000
Maruti Ciaz,,750000,27400,Dealer,Petrol,Manual,,655000
Kia Seltos,,2700000,15000,Individual,Petrol,Automatic,,1400000
Hyundai Verna,,1295000,22000,Dealer,Petrol,Manual,,910000
Toyota Innova,,2600000,50000,Individual,Diesel,Manual,,1400000
Maruti Swift,,690000,44651,Dealer,Petrol,Manual,,435000
Force Gurkha,,2850000,60000,Individual,Diesel,Manual,,700000
Toyota Fortuner,,5500000,6300,Dealer,Diesel,Automatic,,3650000
Maruti Wagon R,,600000,64000,Dealer,CNG,Manual,,390000
Maruti Swift Dzire,,2000000,90000,Individual,Diesel,Manual,,475000
Ford Figo,,1325000,50000,Individual,Diesel,Manual,,250000
Hyundai i10,,620000,45000,Individual,Petrol,Manual,,155000
Maruti Baleno,,750000,25000,Individual,Petrol,Manual,,700000
Land Rover Rover,,2550000,104000,Individual,Diesel,Automatic,,2700000
Maruti Swift Dzire,,1380000,30000,Dealer,Petrol,Manual,,740000
Hyundai Creta,,480000,55000,Dealer,Diesel,Manual,,1115000
Honda Jazz,,2280000,80000,Individual,Diesel,Manual,,600000
Maruti Swift,,595000,54100,Dealer,Diesel,Manual,,650000
Hyundai i20,,1350000,35000,Individual,Diesel,Manual,,800000
Honda City,,1600000,55000,Dealer,Petrol,Manual,,120000
Hyundai Santro,,8650000,5000,Dealer,Petrol,Manual,,600000
Honda City,,11000000,70000,Individual,Petrol,Manual,,800000
Hyundai i10,,1420000,30215,Dealer,Petrol,Manual,,264000
Datsun RediGO,,3000000,10400,Individual,Petrol,Manual,,300000
Maruti Swift Dzire,,1920000,56930,Dealer,Petrol,Manual,,460000
Audi A4,,545000,68370,Dealer,Diesel,Automatic,,1345000
Maruti Baleno,,550000,23000,Individual,Diesel,Manual,,850000
Mahindra KUV,,300000,50000,Dealer,Diesel,Manual,,550000
Ford Aspire,,3320000,130000,Individual,Diesel,Manual,,507000
Maruti Alto,,1550000,11614,Trustmark Dealer,Petrol,Manual,,350000
Renault KWID,,1650000,23000,Dealer,Petrol,Manual,,425000
Maruti Swift Dzire,,1125000,72000,Dealer,Diesel,Manual,,475000
Hyundai i20,,1780000,42472,Dealer,Petrol,Manual,,590000
Mahindra Bolero,,1430000,65000,Dealer,Diesel,Manual,,675000
Maruti Celerio,,1400000,62000,Dealer,Petrol,Automatic,,470000
Honda Amaze,,790000,170000,Individual,Diesel,Manual,,450000
Skoda Rapid,,5000000,9570,Dealer,Petrol,Automatic,,1195000
BMW 7,,2085000,68000,Dealer,Petrol,Automatic,,750000
BMW X5,,1075000,15000,Dealer,Diesel,Automatic,,6350000
Toyota Innova,,1675000,145000,Individual,Diesel,Manual,,930000
Maruti Celerio,,4975000,40860,Dealer,Petrol,Manual,,345000
Maruti Alto,,1350000,95011,Dealer,Petrol,Manual,,225000
Maruti Wagon R,,720000,90000,Individual,Petrol,Manual,,80000
Hyundai i10,,2480000,36971,Dealer,Petrol,Manual,,310000
Hyundai Creta,,875000,35000,Individual,Diesel,Manual,,900000
Renault Duster,,10500000,48133,Dealer,Petrol,Automatic,,1155000
Ford Figo,,3000000,26488,Dealer,Diesel,Manual,,575000
Honda Amaze,,700000,71572,Dealer,Diesel,Manual,,455000
Renault KWID,,550000,5000,Individual,Petrol,Automatic,,472000
Maruti Ciaz,,3350000,110000,Individual,Diesel,Manual,,600000
Maruti Ertiga,,7200000,132000,Individual,Diesel,Manual,,800000
Ford Figo,,1200000,60000,Individual,Diesel,Manual,,230000
Hyundai Creta,,1270000,69000,Dealer,Diesel,Automatic,,900000
Maruti Ciaz,,650000,20360,Dealer,Petrol,Automatic,,875000
Toyota Innova,,345000,87000,Individual,Diesel,Manual,,1700000
Audi A4,,2000000,100000,Dealer,Diesel,Automatic,,780000
Hyundai Grand,,1300000,11300,Dealer,Petrol,Manual,,525000
Tata Hexa,,1399000,42187,Dealer,Diesel,Manual,,1495000
Hyundai Grand,,600000,23135,Dealer,Petrol,Manual,,450000
BMW 7,,2650000,60000,Dealer,Diesel,Automatic,,465000
Maruti Alto,,1250000,45000,Dealer,CNG,Manual,,290000
Maruti Ertiga,,1450000,120000,Individual,Diesel,Manual,,725000
Honda City,,1550000,60000,Individual,Petrol,Manual,,225000
Toyota Innova,,1335000,50000,Dealer,Diesel,Manual,,950000
BMW 5,,1320000,24000,Dealer,Diesel,Automatic,,3800000
Maruti Eeco,,550000,7557,Dealer,Petrol,Manual,,450000
Ford Figo,,2900000,120000,Individual,Diesel,Manual,,280000
Honda Amaze,,580000,20000,Individual,Petrol,Manual,,530000
Hyundai i20,,1700000,44726,Dealer,Petrol,Manual,,550000
Mahindra Scorpio,,1750000,63452,Dealer,Diesel,Manual,,1070000
Hyundai Verna,,4250000,45000,Dealer,Petrol,Automatic,,1225000
Maruti Ciaz,,3095000,48000,Dealer,Diesel,Manual,,685000
Ford Figo,,650000,60000,Dealer,Diesel,Manual,,220000
Mahindra Scorpio,,900000,65000,Dealer,Diesel,Manual,,545000
Hyundai i20,,1200000,42000,Dealer,Petrol,Manual,,585000
Maruti Swift,,620000,52000,Dealer,Petrol,Manual,,448000
Honda City,,370000,30000,Individual,Petrol,Automatic,,825000
Hyundai i20,,1500000,80000,Individual,Diesel,Manual,,430000
BMW 5,,900000,76000,Dealer,Diesel,Automatic,,2050000
Hyundai i10,,1250000,57210,Dealer,Petrol,Manual,,298000
Maruti Alto,,1125000,70000,Individual,Petrol,Manual,,165000
Maruti Swift Dzire,,850000,120000,Individual,Diesel,Manual,,547000
Maruti Celerio,,1000000,42000,Dealer,Petrol,Manual,,425000
Honda Amaze,,3685000,55000,Dealer,Petrol,Automatic,,425000
Maruti Celerio,,1075000,48300,Individual,Petrol,Automatic,,420000
Hyundai Santro,,650000,60000,Individual,Petrol,Manual,,240000
Maruti Swift Dzire,,920000,43000,Dealer,Petrol,Manual,,395000
Maruti Wagon R,,1100000,18307,Dealer,Petrol,Automatic,,415000
Tata Nexon,,1325000,20000,Individual,Diesel,Manual,,1000000
Hyundai i20,,899000,70000,Dealer,Diesel,Manual,,470000
Hyundai Grand,,1800000,63000,Individual,Petrol,Manual,,340000
Honda City,,2250000,79000,Dealer,Petrol,Manual,,700000
Ford Figo,,2400000,80000,Individual,Diesel,Manual,,270000
BMW 3,,1470000,87000,Dealer,Diesel,Automatic,,1175000
Maruti Swift Dzire,,700000,85000,Individual,Diesel,Manual,,470000
Mahindra XUV500,,2700000,113000,Dealer,Diesel,Manual,,650000
Maruti Swift Dzire,,590000,90000,Dealer,Diesel,Automatic,,715000
Maruti Swift,,890000,20000,Dealer,Petrol,Manual,,645000
Maruti Wagon R,,785000,39000,Dealer,Petrol,Manual,,135000
Hyundai Verna,,2950000,15000,Dealer,Petrol,Automatic,,1150000
Hyundai Creta,,2550000,51000,Dealer,Diesel,Manual,,875000
BMW 3,,5350000,33000,Individual,Petrol,Automatic,,2775000
Toyota Innova,,2100000,94000,Dealer,Diesel,Manual,,411000
Hyundai i20,,1360000,48000,Dealer,Petrol,Manual,,490000
Toyota Camry,,2975000,83386,Dealer,Petrol,Automatic,,750000
Volkswagen Polo,,880000,35000,Individual,Petrol,Manual,,530000
Ford Ecosport,,3540000,4015,Individual,Petrol,Manual,,946000
Hyundai Grand,,1400000,8468,Dealer,Petrol,Manual,,685000
Maruti Ertiga,,775000,56600,Individual,Petrol,Manual,,475000
Volkswagen Vento,,1400000,67000,Dealer,Petrol,Manual,,360000
Honda Jazz,,2375000,14479,Dealer,Petrol,Manual,,700000
Porsche Cayenne,,640000,96000,Individual,Diesel,Automatic,,2800000
Hyundai Santro,,725000,32400,Dealer,Petrol,Manual,,270000
Renault Duster,,2750000,64000,Dealer,Diesel,Manual,,370000
Honda City,,310000,75000,Dealer,Petrol,Manual,,235000
Audi A4,,1480000,38000,Dealer,Diesel,Automatic,,2055000
BMW 7,,2400000,38000,Dealer,Diesel,Automatic,,4700000
BMW 5,,2150000,38000,Dealer,Diesel,Automatic,,2075000
Hyundai i20,,2080000,16000,Dealer,Petrol,Manual,,540000
Hyundai Grand,,2700000,67000,Dealer,Petrol,Automatic,,540000
Maruti Ertiga,,1625000,15439,Dealer,Petrol,Manual,,980000
Maruti Alto,,1300000,10000,Individual,Petrol,Manual,,320000
Hyundai i10,,1550000,57000,Dealer,Petrol,Manual,,375000
Hyundai i20,,920000,70000,Individual,Diesel,Manual,,440000
Hyundai i20,,2375000,63239,Dealer,Diesel,Manual,,650000
Maruti Swift,,1250000,30000,Individual,Petrol,Manual,,435000
Toyota Camry,,1370000,60000,Dealer,Petrol,Automatic,,2350000
Hyundai Grand,,950000,25000,Dealer,Petrol,Manual,,475000
Ford Ecosport,,970000,80150,Dealer,Petrol,Manual,,500000
Maruti Ertiga,,2250000,140000,Individual,Diesel,Manual,,500000
Maruti Ciaz,,1600000,50000,Individual,Diesel,Manual,,825000
Maruti Celerio,,720000,15000,Dealer,Petrol,Automatic,,570000
Maruti Baleno,,1045000,57000,Individual,Petrol,Manual,,625000
Maruti Wagon R,,1580000,27823,Trustmark Dealer,CNG,Manual,,425000
Ford Ecosport,,4850000,27000,Individual,Petrol,Manual,,870000
Maruti Ertiga,,800000,49000,Dealer,CNG,Manual,,825000
Maruti Ertiga,,595000,15000,Individual,Petrol,Manual,,920000
Maruti Swift,,1580000,9500,Dealer,Petrol,Manual,,799000
Honda City,,2350000,100000,Individual,Petrol,Automatic,,200000
Datsun GO,,950000,50000,Individual,Petrol,Manual,,315000
Ford Endeavour,,3900000,41000,Dealer,Diesel,Automatic,,3200000
Hyundai i20,,5700000,13230,Dealer,Petrol,Manual,,772000
Skoda Rapid,,1475000,50000,Dealer,Diesel,Automatic,,580000
Jeep Compass,,2625000,67000,Dealer,Diesel,Manual,,1740000
Mahindra XUV500,,2800000,30000,Individual,Diesel,Manual,,950000
Hyundai i20,,280000,49000,Dealer,Petrol,Manual,,695000
Mahindra Bolero,,2875000,120000,Individual,Diesel,Manual,,240000
Volkswagen Polo,,370000,55000,Dealer,Petrol,Manual,,675000
Honda City,,1200000,65000,Dealer,Petrol,Manual,,299000
Mahindra Marazzo,,360000,5000,Individual,Diesel,Manual,,980000
Ford Figo,,1290000,17000,Dealer,Petrol,Manual,,485000
Ford Figo,,945000,35500,Dealer,Petrol,Manual,,271000
Volkswagen Polo,,770000,61500,Dealer,Petrol,Manual,,498000
Maruti Alto,,2720000,59455,Dealer,Petrol,Manual,,175000
Maruti Swift,,1025000,110000,Individual,Diesel,Manual,,440000
Renault KWID,,4975000,64000,Individual,Petrol,Manual,,300000
Mahindra XUV500,,945000,105000,Dealer,Diesel,Manual,,525000
Mercedes-Benz C-Class,,750000,149500,Dealer,Diesel,Automatic,,1565000
Honda City,,250000,65000,Dealer,Petrol,Manual,,295000
Hyundai Grand,,3250000,5800,Individual,Petrol,Automatic,,525000
Hyundai i10,,800000,30000,Dealer,Petrol,Automatic,,332000
Maruti Alto,,1975000,52865,Dealer,Petrol,Manual,,245000
Datsun GO,,820000,450000,Individual,Petrol,Manual,,295000
Maruti Ciaz,,710000,31000,Dealer,Petrol,Manual,,785000
Kia Seltos,,630000,6000,Dealer,Petrol,Manual,,1425000
Honda City,,980000,190000,Individual,Diesel,Manual,,550000
Ford Ecosport,,570000,25592,Dealer,Petrol,Automatic,,1095000
Mahindra KUV,,1750000,35000,Individual,Petrol,Manual,,350000
Hyundai Grand,,1020000,12000,Dealer,Petrol,Automatic,,625000
Maruti Ertiga,,3285000,56000,Individual,Diesel,Manual,,975000
Hyundai Grand,,2800000,46900,Dealer,Petrol,Automatic,,461000
Mahindra Marazzo,,2190000,36000,Dealer,Diesel,Manual,,1085000
Maruti Vitara,,1375000,23995,Dealer,Diesel,Automatic,,1100000
Maruti Vitara,,780000,76000,Dealer,Diesel,Manual,,850000
Maruti Swift Dzire,,1030000,20000,Individual,Petrol,Manual,,575000
Maruti Vitara,,1700000,31343,Dealer,Diesel,Manual,,925000
Mini Cooper,,1625000,30000,Dealer,Petrol,Automatic,,2300000
Maruti Ertiga,,325000,35000,Individual,Diesel,Manual,,725000
Volkswagen Polo,,735000,58000,Dealer,Diesel,Manual,,625000
Toyota Innova,,480000,90000,Dealer,Diesel,Manual,,575000
Toyota Glanza,,250000,10000,Individual,Petrol,Manual,,750000
Honda City,,1655000,178000,Individual,Petrol,Manual,,260000
Honda City,,1335000,70000,Dealer,Petrol,Manual,,700000
Maruti Swift,,1680000,25000,Dealer,Petrol,Manual,,415000
Hyundai Grand,,2380000,50000,Individual,Diesel,Manual,,450000
Volkswagen Polo,,480000,52000,Dealer,Petrol,Automatic,,645000
Maruti Ertiga,,1350000,38000,Individual,Diesel,Manual,,650000
Hyundai Grand,,875000,32100,Dealer,Petrol,Manual,,495000
Maruti Wagon R,,2140000,27500,Individual,Petrol,Manual,,440000
Hyundai i10,,12500000,70000,Dealer,Petrol,Automatic,,225000
Hyundai i20,,1920000,52000,Dealer,Petrol,Manual,,345000
Ford Figo,,2005000,76500,Dealer,Diesel,Manual,,235000
Mahindra XUV500,,990000,9000,Individual,Diesel,Manual,,1625000
Maruti Swift Dzire,,900000,76000,Dealer,Diesel,Manual,,435000
Honda City,,1990000,58000,Dealer,Petrol,Manual,,260000
Hyundai Grand,,1460000,50000,Individual,Diesel,Manual,,500000
Maruti Vitara,,1050000,20000,Individual,Diesel,Manual,,870000
Maruti Alto,,1420000,57000,Dealer,Petrol,Manual,,390000
Datsun GO,,815000,70000,Individual,Petrol,Manual,,350000
Toyota Fortuner,,680000,88251,Dealer,Diesel,Automatic,,1490000
Maruti Alto,,795000,40000,Dealer,CNG,Manual,,260000
Maruti Swift Dzire,,1450000,39500,Dealer,Petrol,Automatic,,725000
Maruti Ertiga,,5000000,77100,Dealer,Petrol,Manual,,550000
Toyota Innova,,445000,57000,Dealer,Diesel,Manual,,1390000
Volkswagen Polo,,535000,56000,Dealer,Petrol,Manual,,335000
Tata Safari,,1650000,35000,Individual,Diesel,Manual,,675000
Honda Jazz,,2375000,22000,Dealer,Petrol,Automatic,,800000
Hyundai Grand,,2400000,41473,Dealer,Petrol,Manual,,550000
Mahindra XUV500,,1280000,49100,Individual,Diesel,Manual,,800000
Honda WR-V,,1690000,15000,Individual,Diesel,Manual,,790000
Ford Figo,,675000,97000,Dealer,Diesel,Manual,,475000
Jaguar XF,,1175000,49000,Dealer,Diesel,Automatic,,2650000
Toyota Innova,,1170000,30000,Dealer,Diesel,Automatic,,2250000
Volkswagen Polo,,1470000,43000,Dealer,Petrol,Manual,,600000
Hyundai Verna,,900000,65694,Dealer,Petrol,Manual,,510000
Maruti Swift,,3225000,18000,Dealer,Petrol,Manual,,740000
